Activity Type, Date, Duration, Distance, Average heart rate
Running, 23/04/2021, 108, 18.23, 117
Running, 19/04/2021, 73, 12.70, 111
Running, 16/06/2022, 106, 17.12, 123
Running, 09/04/2022, 44,  4.79, 131
Cycling, 22/09/2020, 119, 31.70, 142
Cycling, 01/02/2021, 105, 23.63, 119
Cycling, 12/02/2021, 62, 17.08, 119
Running, 29/03/2021, 116, 17.22, 149
Swimming, 08/05/2021, 89,  5.55, 91
Swimming, 05/04/2022, 76,  4.20, 110
Cycling, 18/07/2021, 54, 14.90, 117
Running, 29/08/2020, 35,  4.33, 132
Swimming, 06/01/2022, 46,  2.12, 150
Running, 16/10/2021, 79,  9.98, 122
Swimming, 15/02/2022, 114,  5.90, 118
Swimming, 21/02/2021, 101,  4.90, 145
Swimming, 23/05/2020, 57,  2.96, 108
Swimming, 30/11/2020, 52,  2.79, 105
Running, 09/01/2022, 93, 13.08, 99
Swimming, 12/05/2020, 60,  3.47, 96
Swimming, 20/10/2022, 90,  4.96, 135
Running, 05/06/2021, 76,  8.43, 123
Running, 04/01/2020, 109, 13.05, 93
Swimming, 12/01/2023, 42,  2.67, 122
Running, 31/03/2022, 94, 12.64, 133
Running, 24/12/2020, 92, 12.85, 128
Cycling, 01/12/2022, 104, 30.26, 103
Running, 10/01/2023, 56,  7.70, 137
Swimming, 18/05/2021, 90,  3.98, 123
Cycling, 13/04/2020, 88, 20.83, 124
Swimming, 17/07/2022, 91,  3.14, 124
Cycling, 05/10/2021, 97, 26.67, 150
Running, 10/05/2020, 101, 17.35, 120
Running, 29/07/2021, 72, 10.81, 151
Cycling, 18/02/2022, 103, 29.36, 128
Running, 17/03/2020, 41,  7.14, 149
Swimming, 23/01/2022, 118,  6.98, 141
Cycling, 27/04/2020, 118, 29.11, 131
Running, 23/10/2020, 63,  7.57, 90
Swimming, 20/07/2020, 83,  2.76, 109
Swimming, 24/05/2020, 44,  1.76, 139
Swimming, 11/07/2022, 42,  1.96, 129
Swimming, 02/04/2020, 36,  1.69, 152
Swimming, 16/12/2020, 82,  5.23, 112
